Unemp_Rate,Per_Cap_Pers_Income,DATE,Housing_Price_Index,Median_Income,Rental_Vac_Rate,Consumption_HH,Income_Ineq_SL,Active_List_UT_County,Med_Price_Per_SQF,SNAP,Med_Days_Mkt,Active_List_SL,Housing_Auth,Educ_Attain,Net_Mig_Flow_UT_County,Percent_Single,Med_Income_SL,GDP,Population,,136.5
4.5,36628,1/1/13,318.24,67945,6.7,85430.1,11.85627925,,,261426,,,,31.3,2545.25,23.13733763,61716,133362.7,2898.773,,9.8885
4.3,36764.5,4/1/13,327.2,67945,6.7,85430.1,11.85627925,,,252378,,,,31.3,2545.25,23.13733763,61716,134422.1,2908.6615,,
4.2,36901,7/1/13,334.77,67945,6.7,85430.1,11.85627925,,,241380,,,,31.3,2545.25,23.13733763,61716,136800.1,2918.55,,
4,37037.5,10/1/13,339.18,67945,6.7,85430.1,11.85627925,,,236449,,,,31.3,2545.25,23.13733763,61716,137216.6,2928.4385,,
3.8,38328,1/1/14,341.29,69370,8.6,90175.4,12.06854424,,,228503,,,,31.1,2387.75,23.55964036,62536,139570.1,2938.327,,11.32475
3.6,38464.5,4/1/14,347.66,69370,8.6,90175.4,12.06854424,,,230361,,,,31.1,2387.75,23.55964036,62536,141655.3,2952.39975,,
3.6,38601,7/1/14,351.56,69370,8.6,90175.4,12.06854424,,,225880,,,,31.1,2387.75,23.55964036,62536,142978.9,2966.4725,,
3.6,38737.5,10/1/14,355.62,69370,8.6,90175.4,12.06854424,,,226927,,,,31.1,2387.75,23.55964036,62536,144396.2,2980.54525,,
3.6,40668,1/1/15,359.16,72392,5.1,94726.6,12.02445431,,,227251,,,,31.8,1891,23.9206358,65549,146212,2983.626,,15.15375
3.5,40804.5,4/1/15,365.08,72392,5.1,94726.6,12.02445431,,,227497,,,,31.8,1891,23.9206358,65549,148557.2,2997.69875,,
3.5,40941,7/1/15,372.31,72392,5.1,94726.6,12.02445431,,,223055,,,,31.8,1891,23.9206358,65549,149985.2,3011.7715,,
3.5,41077.5,10/1/15,377.29,72392,5.1,94726.6,12.02445431,,,222981,,,,31.8,1891,23.9206358,65549,151859.1,3025.84425,,
3.5,42008,1/1/16,382.87,72789,5.7,100033.9,11.9122807,,,221443,,,,32.6,1902.5,23.65353413,68404,154696,3044.241,,14.82475
3.4,42144.5,4/1/16,391.52,72789,5.7,100033.9,11.9122807,,,221948,,,,32.6,1902.5,23.65353413,68404,156826.7,3058.31375,,
3.3,42281,7/1/16,400.58,72789,5.7,100033.9,11.9122807,,,216446,39,2992,1563.087139,32.6,1902.5,23.65353413,68404,158879.5,3072.3865,,
3.2,42417.5,10/1/16,405.27,72789,5.7,100033.9,11.9122807,,,212903,46,2959,2541.689687,32.6,1902.5,23.65353413,68404,160907.1,3086.45925,,
3.2,43711,1/1/17,412.49,73694,6.2,106375.8,11.85694234,,,210310,67,1978,1851.2808,34.6,1922.25,23.17259764,71396,164237.3,3103.54,,12.90325
3.2,43847.5,4/1/17,426.1,73694,6.2,106375.8,11.85694234,,,206621,32,1908,1842.771671,34.6,1922.25,23.17259764,71396,166217.4,3117.61275,,
3.2,43984,7/1/17,436.04,73694,6.2,106375.8,11.85694234,-3.07,0.43,199143,33,2722,2292.848464,34.6,1922.25,23.17259764,71396,168905.2,3131.6855,,
3.1,44120.5,10/1/17,441.84,73694,6.2,106375.8,11.85694234,-2.68,-0.17,196886,38,3113,2227.263675,34.6,1922.25,23.17259764,71396,172873.6,3145.75825,,
3,46377,1/1/18,451.13,79443,5.4,113863.9,11.88016529,-4.48,0.41,193618,55,1943,3052.761737,34.9,1808.25,23.05630867,73619,178186.8,3155.153,,12.0575
2.9,46513.5,4/1/18,466.14,79443,5.4,113863.9,11.88016529,-1.74,2.04,188587,30,1885,1935.660315,34.9,1808.25,23.05630867,73619,182401.7,3169.22575,,
2.9,46650,7/1/18,475.78,79443,5.4,113863.9,11.88016529,0.05,0.66,181859,32,2483,1951.017905,34.9,1808.25,23.05630867,73619,184361.2,3183.2985,,
2.9,46786.5,10/1/18,481.94,79443,5.4,113863.9,11.88016529,21.32,-0.57,178812,37,3180,1948.644133,34.9,1808.25,23.05630867,73619,185624.5,3197.37125,,
2.8,49115,1/1/19,490.14,85578,3.8,119970.1,11.71761303,42.17,0.26,174116,60,2390,1961.800447,34.8,2086.25,23.07680206,79941,192650.4,3203.383,,19.57525
2.6,49251.5,4/1/19,500.11,85578,3.8,119970.1,11.71761303,40.37,0.89,170989,36,2221,2481.848607,34.8,2086.25,23.07680206,79941,194484.7,3217.45575,,
2.5,49388,7/1/19,508.21,85578,3.8,119970.1,11.71761303,19.76,0.41,168361,38,2705,2148.487152,34.8,2086.25,23.07680206,79941,196101.2,3231.5285,,
2.4,49524.5,10/1/19,515.64,85578,3.8,119970.1,11.71761303,-1.33,-0.16,165374,39,2635,2608.460496,34.8,2086.25,23.07680206,79941,197117.2,3245.60125,,
2.4,52204,1/1/20,522.38,,5.3,121445.4,,-20.46,0.34,163926,66,1465,2515.991064,,,,79294,203613.9,3281.684,,14.07275
10.1,52340.5,4/1/20,531.9,,5.3,121445.4,,-14.11,0.14,164234,27,2039,2065.305477,,,,79294,184855.9,3295.75675,,
